1,7380,12,27,13
2,7597,16,53,48
3,9410,10,13,5
4,12621,17,57,41
5,7691,9,10,2
6,10043,0,21,12
7,7667,7,10,2
8,14316,0,59,30
9,9517,10,33,2
10,8757,7,15,1
11,6642,6,38,20
12,14750,9,11,0
13,11913,5,27,5
14,14370,13,25,6
15,12063,6,58,16
16,12221,2,43,18
17,7521,8,49,14
18,13772,19,51,20
19,11261,9,59,26
20,7632,17,48,20
21,10196,14,20,6
22,13515,7,23,11
23,6474,7,40,17
24,8816,12,54,35
25,13188,1,47,31
26,9575,14,10,1
27,14904,1,10,7
28,10982,19,41,15
29,13568,4,30,17
30,6216,15,42,24
31,14343,14,18,2
32,7978,15,15,1
33,12633,1,34,3
34,13160,10,37,4
35,12695,13,31,24
36,14996,11,51,37
37,9808,19,41,9
38,12671,12,55,36
39,13945,0,14,2
40,13006,6,24,14
41,9702,0,48,17
42,14757,15,53,34
43,6110,9,17,5
44,6415,2,11,7
45,9914,15,57,24
46,5123,4,11,0
47,13797,19,38,2
48,12304,2,46,37
49,9181,6,12,9
50,13874,7,42,32
51,12736,9,59,48
52,6569,12,28,10
53,8928,4,12,7
54,8601,7,55,48
55,5999,1,53,21
56,7956,7,43,22
57,11523,12,38,12
58,6529,4,51,1
59,5010,18,23,20
60,12424,17,43,3
61,14598,19,38,23
62,9971,15,48,0
63,9339,5,50,34
64,5503,4,12,6
65,14667,0,29,6
66,14424,18,39,22
67,9496,6,50,44
68,13119,0,41,35
69,8642,15,59,29
70,7271,10,57,49
71,14796,11,15,7
72,12019,6,45,17
73,9131,16,43,9
74,5290,15,25,13
75,12310,19,45,0
76,6931,6,47,42
77,7590,19,21,12
78,5593,8,19,9
79,12695,16,25,13
80,10807,17,23,4
81,13845,3,41,21
82,6123,13,51,5
83,5216,4,54,29
84,5495,6,57,30
85,6248,13,25,21
86,7707,7,16,6
87,13200,18,12,4
88,8972,16,39,7
89,7150,1,57,2
90,14768,4,53,39
91,12329,1,18,10
92,6559,10,46,19
93,6266,1,32,14
94,5715,9,19,12
95,9275,19,16,1
96,9736,0,14,2
97,5706,10,55,3
98,5452,2,14,6
99,9382,18,11,2
100,10479,3,34,1
101,11792,5,32,26
102,12148,14,48,40
103,13931,17,16,4
104,5054,13,31,8
105,14093,11,47,28
106,5251,17,53,33
107,8059,3,55,39
108,6060,16,54,7
109,6592,6,16,1
110,13858,19,10,7
111,8182,18,40,21
112,12834,6,53,39
113,8682,6,50,36
114,13690,1,45,10
115,9244,13,40,35
116,14729,15,52,11
117,13772,9,28,9
118,12530,12,37,25
119,10446,1,37,31
120,9881,4,39,5
121,11254,9,16,0
122,13268,16,55,46
123,9708,2,41,11
124,7706,9,21,7
125,12393,13,23,7
126,8103,17,48,12
127,12200,14,13,10
128,10502,3,20,17
129,9589,11,40,0
130,6645,7,33,11
131,11105,16,58,9
132,6916,13,19,13
133,5739,14,37,34
134,6933,13,39,29
135,5079,14,16,5
136,5309,2,13,8
137,10635,16,39,14
138,8529,5,45,19
139,8877,14,58,15
140,13482,12,36,23
141,11062,8,27,1
142,11105,5,30,2
143,12337,11,44,24
144,10146,14,39,3
145,5115,12,19,8
146,13277,0,38,1
147,14420,0,13,5
148,11728,14,31,17
149,8285,3,23,5
150,10589,1,26,12
151,13640,11,27,7
152,12634,15,35,14
153,11067,19,49,13
154,9900,9,23,11
155,8924,10,19,11
156,6298,11,10,3
157,8293,8,41,26
158,7504,12,49,16
159,13281,1,39,19
160,6952,16,23,5
161,14349,10,48,31
162,14546,8,51,27
163,14103,5,53,25
164,10189,10,49,8
165,7474,1,15,4
166,11451,3,55,48
167,5376,17,50,16
168,13408,18,16,7
169,8902,4,48,38
170,11459,16,14,2
171,7323,3,53,22
172,14012,19,41,7
173,11032,0,47,26
174,9540,17,31,25
175,8824,11,34,21
176,9207,9,38,33
177,12217,4,31,19
178,9396,18,21,13
179,8202,18,40,30
180,10891,16,37,7
181,14186,0,51,10
182,13965,8,44,22
183,10207,19,31,0
184,11984,0,22,11
185,9612,16,15,10
186,13944,1,10,6
187,13256,1,18,13
188,7870,11,21,5
189,5918,5,45,42
190,8861,13,40,31
191,9143,18,26,3
192,9135,0,26,19
193,11009,3,28,6
194,14355,2,38,20
195,11083,12,59,3
196,12138,5,15,7
197,14246,11,21,6
198,14581,11,15,6
199,13349,14,47,39
200,8152,4,41,37
201,11117,6,49,33
202,8042,1,53,7
203,6389,3,19,8
204,11058,17,38,29
205,12167,6,11,1
206,5851,8,54,9
207,5340,5,59,18
208,11808,9,40,18
209,5636,11,43,26
210,7824,14,38,15
211,13883,11,43,6
212,6891,8,22,2
213,5124,11,41,9
214,14642,1,37,14
215,5186,6,38,9
216,7050,11,34,26
217,12745,12,48,2
218,12249,8,46,20
219,9937,2,39,12
220,11799,10,45,36
221,9139,9,17,13
222,13262,5,52,1
223,13961,9,51,0
224,11450,18,34,21
225,11569,12,21,17
226,14202,16,58,46
227,13163,18,58,6
228,7548,18,30,17
229,6950,19,20,6
230,6772,1,56,42
231,12310,14,34,17
232,7141,5,37,4
233,6737,14,23,6
234,6101,9,19,11
235,11132,9,31,15
236,7245,5,43,35
237,11042,11,12,3
238,12775,5,55,9
239,7949,14,52,10
240,8526,5,38,18
241,10042,0,16,13
242,10816,8,14,4
243,14937,9,58,31
244,12719,3,57,21
245,7387,4,10,2
246,7835,17,54,29
247,9218,3,28,22
248,13833,13,22,15
249,7139,14,11,8
250,14447,9,10,5
251,7190,6,24,6
252,12996,15,28,7
253,8084,3,20,3
254,7748,8,31,22
255,14744,19,38,19
256,14218,10,16,2
257,8751,10,56,51
258,14004,3,38,26
259,12455,18,44,36
260,5714,18,41,1
261,11763,14,45,6
262,5255,2,10,2
263,8340,5,24,10
264,9286,0,31,6
265,5025,18,52,27
266,5205,15,55,36
267,11120,10,46,18
268,7869,7,48,41
269,7594,7,45,34
270,14311,9,26,6
271,5418,5,48,38
272,12992,18,12,8
273,6174,0,35,9
274,8677,9,25,11
275,8404,11,40,0
276,10311,12,26,8
277,7886,13,18,12
278,5448,7,31,9
279,10990,7,32,28
280,8668,2,21,9
281,13674,2,40,26
282,8169,9,49,22
283,9512,0,52,7
284,8886,19,12,7
